experiment,scenario,bandwidth_mb_s,beta,compression_ratio,method,repeat,total_cost,total_latency,total_energy
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,20,26.705211799944475,13.85903244280162,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,21,26.212210960071456,13.366031602928604,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,22,25.908348976833366,13.06216961969051,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,23,26.34333549150003,13.497156134357176,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,24,26.426385914738127,13.580206557595272,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,25,26.710467161823843,13.864287804680984,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,26,25.9912013181667,13.145021961023843,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,27,26.32368859473813,13.477509237595271,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,28,26.304670572515903,13.45849121537305,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,29,25.9912013181667,13.145021961023843,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,0,100.03780323684481,35.98995144030737,64.04785179653743
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,1,97.47450706341282,36.36343171363782,61.11107534977499
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,2,107.53177604780826,44.168848626489506,63.362927421318744
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,3,99.77134294262311,37.130140300735604,62.6412026418875
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,4,96.39592074076957,37.330030686232064,59.065890054537505
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,5,102.54564952061392,39.40884431130144,63.1368052093125
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,6,95.90701063332257,38.893613131560095,57.01339750176247
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,7,101.6112423104762,37.1435546422887,64.46768766818748
